Time,Steam Flow,HRH P,HRH T,Main Steam P,HP Temp,Ambient,Predicted MW
2025-08-20 18:35:52,850.0,4.0,525,16.0,538,25.0,270.9269
2025-08-20 18:37:11,850.0,4.0,525,16.0,538,9.58,271.01666
